key,name,sortOrder,japanese,instrument,website,group,altEnglish,altJapanese,altWebsite,altWebsite2
ayako-hosokawa,Ayako Hosokawa,Hosokawa; Ayako,細川綾子,vocal,https://jazzshiryokan.net/jazzDB/performer_detail.php?recordID=M1775,,,,,
ayako-shirasaki,Ayako Shirasaki,Shirasaki; Ayako,白崎彩子,piano,https://www.ayakoshirasaki.com/,,,,http://blog.livedoor.jp/ayakoshi/,
ayako-taira,Ayako Taira,Taira; Ayako,平良亜矢子,vocal,https://blog.goo.ne.jp/tairaayako,,,,http://tokyo.sub.jp/ayako/,
ayako-tsuchiya,Ayako Tsuchiya,Tsuchiya; Ayako,土屋絢子,vocal,https://fleetinghappiness18.wixsite.com/ayako-tsuchiya/,,,,,
ayu-yoneda,Ayu Yoneda,Yoneda; Ayu,米田あゆ,sax,https://ayu96815.livedoor.blog/,,,,,
ayumi-hashimoto,Ayumi Hashimoto,Hashimoto; Ayumi,橋本歩,cello,https://www.ayumi-daga.com/,,,,,
ayumi-koketsu,Ayumi Koketsu,Koketsu; Ayumi,纐纈歩美,saxophone,http://a-koketsu.com/,,,,https://ameblo.jp/as-ayumi/,
azumi,Azumi,Azumi,あづみ,vocal,https://ameblo.jp/azumi-aikawa/,,,愛川あづみ,,
ben-donny-waples,Ben “Donny” Waples,Waples; Ben “Donny”,,bass,,,,,,
benisuke-sakai,Benisuke Sakai,Sakai; Benisuke,坂井紅介,bass,http://www.benisuke.com,,,,,
billy-drummond,Billy Drummond,Drummond; Billy,,drums,https://www.billydrummonddrums.com/,,,,,
blahmuzik,BLAHMUZIK,BLAHMUZIK,ブラムジック,sampler,https://blahblog.blog.fc2.com/,,,,https://soundcloud.com/blahmuzik-a-k-a-bm,
carl-allen,Carl Allen,Allen; Carl,,drums,https://carlallen.com/,,,,,
carmen-intorre-jr,Carmen Intorre Jr.,Intorre; Carmen Jr.,,drums,https://www.carmenintorrejr.com/,,,,,
cecil-monroe,Cecil Monroe,Monroe; Cecil,,drums,https://www.discogs.com/artist/314334-Cecil-Monroe,,,,,
chiaki-ichikawa,Chiaki Ichikawa,Ichikawa; Chiaki,市川ちあき,vocal,https://chiakiichikawa.sakura.ne.jp/,,,,http://chiakijazz.blog114.fc2.com/,
chie-ayado,Chie Ayado,Ayado; Chie,綾戸智恵,vocal,https://www.chie-ayado.com/,,,,,
chie-hasegawa,Chie Hasegawa,Hasegawa; Chie,長谷川智恵,violin,https://ameblo.jp/black-raspberry-sweet/,,,,,
chie-nishimura,Chie Nishimura,Nishimura; Chie,西村知恵,vocal,https://chiesan.com/,,,,,
chie-sakamoto,Chie Sakamoto,Sakamoto; Chie,坂本千恵,piano,http://chiesakamoto.web.fc2.com/,,,,,
chihiro-murata,Chihiro Murata,Murata; Chihiro,村田千紘,trumpet,https://chihiromurata.amebaownd.com/,,,,https://ameblo.jp/chihiromurata/,
chihiro-yamanaka,Chihiro Yamanaka,Yamanaka; Chihiro,山中千尋,piano,https://www.chihiroyamanaka.net/,,,,,
chris-silverstein,Chris Silverstein,Silverstein; Chris,,bass,,,,,,
christian-vuust,Christian Vuust,Vuust; Christian,,saxophone,,,,,,
cokky,Cokky,Cokky,コッキー,bass,,,,木幡昌敏,,
colin-oxley,Colin Oxley,Oxley; Colin,,guitar,,,,,,
daichi-kato,Daichi Kato,Kato; Daichi,加藤大智,saxophone,https://daichi-jazzsax.amebaownd.com/,,,,,
daiki-mishima,Daiki Mishima,Mishima; Daiki,三嶋大輝,bass,https://jazzshiryokan.net/jazzDB/performer_detail.php?recordID=M13498,,,,,
daiki-yasukagawa,Daiki Yasukagawa,Yasukagawa; Daiki,安ヵ川大樹,bass,http://daikiyasukagawa.com/,,,,,
dairiki-hara,Dairiki Hara,Hara; Dairiki,原大力,drums,http://www.haradairiki.com/,,,,,
dairo-suga,Dairo Suga,Suga; Dairo,スガダイロー,piano,https://sugadairo.blogspot.com/,,,,,
daisei-mii,Daisei Mii,Mii; Daisei,三井大生,violin,http://daiseimii.com/,,,,,
daisuke-abe,Daisuke Abe,Abe; Daisuke,阿部大輔,guitar,https://daisukeabe.com/,,,,,
daisuke-fujiwara,Daisuke Fujiwara,Fujiwara; Daisuke,藤原大輔,saxophone,http://www.fujiwaradaisuke.com/,,,,,
daisuke-ijichi,Daisuke Ijichi,Ijichi; Daisuke,伊地知大輔,bass,http://blog.livedoor.jp/dai_ijichi/,,,,,
daisuke-kawai,Daisuke Kawai,Kawai; Daisuke,河合代介,organ,http://www.daisukekawai.com/,,,,,
daisuke-suzuki,Daisuke Suzuki,Suzuki; Daisuke,鈴木大輔,guitar,https://ameblo.jp/suutaro-no07/,,,,https://www.facebook.com/daisuke.jazzguitar1/,
daisuke-suzuki-2,Daisuke Suzuki,Suzuki; Daisuke,鈴木大介,guitar,https://www.daisukesuzuki.com/,,,,,
daisuke-toi,Daisuke Toi,Toi; Daisuke,トオイダイスケ,bass,http://www.daisuketoi.com/,,,,,
daisuke-tomita,Daisuke Tomita,Tomita; Daisuke,富田大輔,viola,,,,,,
daisuke-yoshioka,Daisuke Yoshioka,Yoshioka; Daisuke,吉岡大輔,drums,http://yoshiokadaisuke.com/,,,,,
dan-yoshikawa,Dan Yoshikawa,Yoshikawa; Dan,吉川弾,drums,,,,彈,,
